"Артикул";"Ozon Product ID";"FBO OZON SKU ID";"FBS OZON SKU ID";"Barcode";"Наименование товара";"Контент-рейтинг";"Бренд";"Статус товара";"Видимость FBO";"Причины скрытия FBO (при наличии)";"Видимость FBS";"Причины скрытия FBS (при наличии)";"Дата создания";"Коммерческая категория";"Объем товара, л";"Объемный вес, кг";"Доступно на складе Ozon, шт";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно на моих складах, шт";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, руб.";"Цена до скидки (перечеркнутая цена), руб.";"Цена Premium, руб.";"Рыночная цена, руб.";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"Wb3466321";"127328948";"327978787";"327978809";"2009284723009";"Чехол силиконовый для iPhone 13 mini";"32.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 09:36:38";"Чехол для смартфона";"'0.00";"'0.0";"144";"0";"0";"43";"0";"357.00";"532.00";;;;"0%"
"Wb472576";"127331470";"328035680";"328035694";"2009284723016";"Чехол силиконовый для iPhone 13";"32.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 09:39:34";"Чехол для смартфона";"'0.00";"'0.0";"97";"0";"0";"57";"0";"357.00";"532.00";;;;"0%"
"855217";"127333339";"327985877";"327985929";"2009284723023";"Чехол силиконовый для iPhone 13 Pro";"20";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 09:43:18";"Чехол для смартфона";"'0.00";"'0.0";"147";"0";"0";"40";"0";"357.00";"517.00";;;;"0%"
"3466341";"127334320";"327982870";"327982937";"2009284723030";"Чехол силиконовый для iPhone 13 Pro Max";"20";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 09:44:36";"Чехол для смартфона";"'0.00";"'0.0";"22";"0";"0";"80";"0";"357.00";"525.00";;;;"0%"
"p8098765";"127337109";"327994832";"327994891";"2009284723047";"Чехол силиконовый для iPhone 13 mini, черный";"37.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 09:50:52";"Чехол для смартфона";"'0.00";"'0.0";"85";"0";"0";"14";"0";"372.00";"502.00";;;;"0%"
"346688";"127337882";"328005790";"328005818";"2009284723054";"Чехол силиконовый для iPhone 13";"37.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 09:52:33";"Чехол для смартфона";"'0.00";"'0.0";"58";"0";"0";"29";"0";"357.00";"510.00";;;;"0%"
"LB210322133";"127338182";"328000872";"328000920";"2009284723061";"Чехол силиконовый для iPhone 13 Pro";"32.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 09:53:37";"Чехол для смартфона";"'0.00";"'0.0";"87";"0";"0";"17";"0";"357.00";"525.00";;;;"0%"
"Wb625535";"127338649";"328002435";"328002459";"2009284723078";" Чехол силиконовый для iPhone 13 Pro Max";"37.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 09:54:44";"Чехол для смартфона";"'0.00";"'0.0";"0";"0";"0";"8";"0";"357.00";"532.00";;;;"0%"
"346679_3";"127341094";"328015108";"328015164";"2009284723085";"Чехол силиконовый для iPhone 13 mini";"20";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 10:03:18";"Чехол для смартфона";"'0.00";"'0.0";"18";"0";"0";"5";"0";"372.00";"502.00";;;;"0%"
"L210346680";"127341646";"328014637";"328014669";"2009284723092";"Чехол силиконовый для iPhone 13";"63.75";"ISA";"Продается";"Показывается";;"Показывается";;"2021-09-24 10:04:31";"Чехол для смартфона";"'0.00";"'0.0";"4";"0";"0";"17";"0";"357.00";"532.00";;;;"0%"
"Wb76992";"127341925";"328014648";"328014678";"2009284723108";"Чехол силиконовый для iPhone 13 Pro";"20";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 10:05:30";"Чехол для смартфона";"'0.00";"'0.0";"36";"0";"0";"9";"0";"357.00";"532.00";;;;"0%"
"346682";"127342235";"328016753";"328016781";"2009284723115";"Чехол силиконовый для iPhone 13 Pro Max";"20";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 10:06:27";"Чехол для смартфона";"'0.00";"'0.0";"33";"0";"0";"16";"0";"357.00";"532.00";;;;"0%"
"34364534";"127343081";"328016511";"328016532";"2009284723122";"Чехол силиконовый для iPhone 13 mini";"32.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 10:08:11";"Чехол для смартфона";"'0.00";"'0.0";"10";"0";"0";"8";"0";"372.00";"502.00";;;;"0%"
"p346612";"127343387";"328017207";"328017242";"2009284723139";"Чехол силиконовый для iPhone 13";"32.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 10:09:12";"Чехол для смартфона";"'0.36";"'0.1";"0";"0";"0";"8";"0";"357.00";"510.00";;;;"0%"
"L210346677";"127343876";"328021958";"328021962";"2009284723146";"Чехол силиконовый для iPhone 13 Pro";"32.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 10:10:39";"Чехол для смартфона";"'0.00";"'0.0";"13";"0";"0";"10";"0";"357.00";"532.00";;;;"0%"
"LB20346678";"127346114";"328023687";"328023711";"2009284723153";"Чехол силиконовый для iPhone 13 Pro Max";"32.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-09-24 10:11:51";"Чехол для смартфона";"'0.00";"'0.0";"29";"0";"0";"11";"0";"357.00";"532.00";;;;"0%"
"p5134";"160231172";"384735345";"384735344";"2013542132069";"Комбинированный 3-портовый USB-концентратор 2.0 HUB + multi USB card reader для SD/MMC/M2/MS/MP Pro";"27.5";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-12 14:57:23";"USB - хаб";"'0.12";"'0.0";"0";"0";"0";"4";"0";"831.00";"1247.00";;;;"0%"
"337259";"160236090";"384744050";"384744051";"2005415422001";"Триггеры для игр на смартфоне (PUBG Mobile и другие игры) 2 шт, черные";"27.5";"Опмир";"Готов к продаже";"Показывается";;"Показывается";;"2021-11-12 15:05:39";"Джойстик";"'0.03";"'0.0";"0";"0";"0";"0";"0";"290.00";"390.00";;;;"0%"
"kkk456312";"160237810";"384747324";"384747323";"2002582705012";"Насадка на палец для стимуляции точки G";"У товаров этой категории нет контент-рейтинга";"Опмир";"Продается";"Показывается";;"Показывается";;"2021-11-12 15:11:38";"Насадки на палец и язык 18+";"'0.12";"'0.0";"0";"0";"0";"395";"0";"357.00";"493.00";;;;"0%"
